Race,Category,Short Description,Size,Type,Subtype,HD,Land,Burrow,Climb,Fly,Maneuver,Swim,Natural Armor,Natural Attacks,Special Attacks,Spell-like abilities,Psionic abilities,Other Special Abilities,LowLight Vision,Darkvision,Other Senses,Immunities,Vulnerabilities,Energy Resistance,Spell Resistance,Damage Reduction,Fast Healing,Bonus Essentia,Other Special Qualities,Str,Dex,Con,Int,Wis,Cha,StrAdj,DexAdj,ConAdj,IntAdj,WisAdj,ChaAdj,Racial Skills,Racial Weapon Familiarity,Racial Weapon Proficiency,Bonus Feat(s),Automatic Languages,Bonus Languages,Dragonlance Languages,CR Adj.,Alignment,Level Adj.,Favored Class,Base Age,Height,Weight,Special Qualities,,Familiar Level,Companion Level,Familiar Type,Companion  Type,Wildshape Special,Special,Index,Species,Src,Pg,AltSrc
Thri-Kreen,,,Medium,Monstrous Humanoid,,2,40,,,,,,3,"4 Claws+4+0+1,Bite+4+0+0",,,,,,60,,sleep effects,,,,,,,,,,,,,,2,4,,-2,2,-4,"Balance,Climb,Hide,Jump+30,Listen,Spot",,Chatchka;Gythka,Deflect Arrows,"Common, Thri-Kreen","Elven, Giant, Gnoll, Goblin, Halfling",,1,,1,Ranger,6+1d4/1d4/1d4,"5'2""/4'6""+2d10",135/100+2d6,,,,,,,,,,,MM2,195,"ShS,Sand"
"Thri-Kreen, Psionic",,,Medium,Monstrous Humanoid,,2,40,,,,,,3,"4 Claws+4+0+1,Bite+4+0+0",,,,,,60,,sleep effects,,,,,,,,,,,,,,2,4,,-2,2,-4,"Balance,Climb,Hide,Jump+30,Listen,Spot",,Chatchka;Gythka,Deflect Arrows,"Common, Thri-Kreen","Elven, Giant, Gnoll, Goblin, Halfling",,1,,3,Ranger,,,,,,,,,,,,,,XPH,213,
Tiefling,,,Medium,Outsider,Native,,30,,,ref:OutsiderWingsSpeed,average,,,,,Darkness,,,,,,,,ref:TieflingEnergyResist,,,,,,13,13,12,12,9,6,0,2,0,2,0,-2,"Bluff+2,Hide+2",,,,"Common, Infernal","Draconic, Dwarven, Elven, Gnome, Goblin, Halfling, Orc",,,,1,Rogue,15+1d6/1d8/2d8,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,RoD,107,"FRCS,MM,PGtF,PlH"
Troglodyte,,,Medium,Humanoid,Reptilian,2,30,,,,,,6,"2 Claws+4+0+1,Bite+4+0+0",,,,,,90,,,,,,,,,,10,9,14,8,10,10,0,-2,4,-2,0,0,"Hide+4,Listen",,,Multiattack,Draconic,"Common, Giant, Goblin, Orc",,1,,2,Cleric,,,,,,,,,,,,,,MM,246,
Troll,,,Large,Giant,,6,30,,,,,,5,"2 Claws+4+0+1,Bite+4+0+0",,,,,normal,90,,,,,,,,,,23,14,23,6,9,6,12,4,12,-4,-2,-4,"Listen,Spot",,,,Giant,"Common, Orc",,5,,5,Fighter,,,,,,,,,,,,,,MM,247,
"Troll, Crystalline",,,Large,Giant,,10,30,,,,,,7,"2 Claws+4+0+1,Bite+4+0+1",,,,,normal,90,,acid,sonic,,,,,,,,,,,,,12,4,12,-4,-2,-2,"Listen,Spot",,,,Giant,"Common, Orc",,7,,5,Fighter,,,,,,,,,,,,,,MM3,178,
Uldra,,,Small,Fey,,,20,,,,,,,,,"Ray Of Frost (3/day); Speak with Animals, Touch of Fatigue",,,normal,120,,,,cold 5,,,,,,,,,,,,-2,,2,,2,,Knowledge (nature)+2,,,,"Common, Sylvan",Any,,,,1,Druid,100+3d6/5d6/8d6,"2'4""/2'2""+2d4",25/20+1d4,,,,,,,,,,,Frost,158,
Unbodied,,,Medium,Monstrous Humanoid,Incorporeal,4,,,,30,good,,,Touch+5+0+1,,,,,,60,,,,,,,,,,-,13,12,15,14,15,0,2,2,4,4,4,"Bluff+4,Diplomacy,Disguise+4,Intimidate,Listen,Sense Motive,Spot",,,,,none,,,,4,Psion(Telepath),,,,,,,,,,,,,,XPH,215,
Underfolk,,,Medium,Humanoid,Human,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,"Hide+4,Listen",,,,Common,"Drow, Dwarven, Gnome, Goblin, Orc",,,,,Any,15+1d4/1d6/2d6,"4'5""/4'4""+2d6",85/80+1d6,,,,,,,,,,,RoD,108,
Ursoi,,,Large,Monstrous Humanoid,,5,30,,,,,,4,"2 Claws+5+0+1,Bite+5+0+1",,,,,,60,,,,cold 10,,,,,,,,,,,,10,2,6,-2,2,-4,"Climb,Listen,Spot,Survival+4,Swim+4",,,,Ursoi,"Common, Ice Barbarian, Thanoi",,4,,2,Ranger,,,,,,,,,,,,,,BoK,,
Vanara,,,Medium,Humanoid,,,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Balance+4,Climb+8,Hide+2,Jump+4,Move Silently+2",,,,"Common, Vanara","Giant, Goblin, Spirit Tongue, Sylvan",,,,,Shaman,30+2d6/4d6/6d6,"4'5""/4'2""+1d8",90/85+1d6,,,,,,,,,,,OA,15,
Varag,,,Medium,Humanoid,Goblinoid,3,40,,,,,,3,,,,,,,60,,,,,,,,,,,,,,,,4,4,2,-4,,,"Jump,Move Silently+4,Survival",,,"Run, Sneak Attack",Goblin,"Common, Draconic, Dwarven, Giant, Infernal, Orc",,1,,2,Scout,,,,,,,,,,,,,,MM4,,
Warforged,,,Medium,Construct,Living Construct,,30,,,,,,,Slam+4+0+1,,,,,,,,,,,,,,,,,,,,,,,,2,,-2,-2,,,,,Common,none,,,,,Fighter,0+1d12/1d6/1d4,"5'10""/5'10""+2d6",270/270+4d1,,,,,,,,,,,MM3,190,ECS
"Warforged, Charger",,,Large,Construct,Living Construct,4,30,,,,,,,2 Slams+5+0+2,,,,,,,,,,,,,,,,,,,,,,10,,10,-6,-4,-8,Jump,,,"Adamantine Body, Powerful Charge",Common,,,5,,4,Fighter,,,,,,,,,,,,,,MM3,191,
"Warforged, Scout",,,Small,Construct,Living Construct,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,-2,-2,Hide+4,,,,Common,,,,,,Rogue,,,,,,,,,,,,,,MM3,193,
Wemic,,,Large,Monstrous Humanoid,,5,40,,,,,,4,2 Claws+4+0+1,,,,,,60,,,,,,,,,,,,,,,,8,2,2,,,-2,"Hide,Jump+8,Listen,Move Silently,Spot,Survival",,,,"Sylvan, Common",By region,,,,3,Barbarian,,,,,,,,,,,,,,RoF,,Mon
Wildren,,,Medium,Outsider,Extraplanar,,20,10,,,,,,2 Claws+4+0+1,,,,,,,,,,,,,,,,,,,,,,,-2,4,,,-2,,,,,"Common, Dwarven","Sylvan, Gnome, Goblin, Orc, Terran",,,,1,Barbarian,30+3d6/5d6/7d6,"3'8""/3'6""+2d10",120/90+2d4,,,,,,,,,,,PlH,,
"Windblade, Windrazor",,,Small,Outsider,Extraplanar,2,10,,10,40,good,,,"2 Claws+5+0+1,Bite+6+0+0",,,,,,,,,,,,,,,,,,,,,,2,4,,-2,2,-4,"Climb+8,Knowledge (the planes),Listen,Move Silently,Spot,Survival,Tumble",,,"Improved Critical (claw), Improved Critical (bite)","Auran, Windsong","Abyssal, Common, Undercommon",,1,,2,Ranger,,,,,,,,,,,,,,MM4,,
"Windblade, Windscythe",,,Large,Outsider,Extraplanar,8,10,,10,60,average,,4,"2 Claws+4+0+1,Bite+5+0+0",,,,,,,,,,,,,,,,,,,,,,10,2,4,-2,,-2,"Climb+8,Intimidate,Knowledge (the planes),Listen,Move Silently,Spot,Survival,Tumble",,,,"Auran, Windsong","Abyssal, Common, Undercommon",,4,,5,Fighter,,,,,,,,,,,,,,MM4,,
Wingwyrd,,,Medium,Monstrous Humanoid,Earth,3,40,,,60,average,,4,"2 Claws+4+0+1,Slam+5+0+0,Gore+5+0+0",,,,,,60,,,,,11;HitDice,5/magic,,,,,,,,,,4,4,6,,2,,"Hide+2,Listen+2,Spot+2",,,,Common,"Auran, Dwarven, Gnome, Ignan, Terran",,3,,5,Fighter,,,,,,,,,,,,,,FN,,
Wispling,,,Small,Outsider,Native,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,4,,2,,,"Bluff,Climb+2,Disguise,Hide,Jump+2,Listen+2,Move Silently+2,Search,Spot",,,,Common,,,,,1,Rogue,,,,,,,,,,,,,,FF,,
Witchknife,,,Medium,Monstrous Humanoid,,9,30,,,,,,1,,,,,,normal,,,,sonic,fire 5,,,,,,,,,,,,,6,-2,2,4,6,"Concentration,Hide,Sense Motive,Speak Language,Spot",,,,"Common, Undercommon",Any except secret languages.,,4,,3,Rogue,,,,,,,,,,,,,,MM3,194,
Xeph,,,Medium,Humanoid,,,30,,,,,,,,,,,,,60,,,,,,,,,,11,13,12,10,9,8,-2,2,0,0,0,0,,,,,"Common, Xeph","Draconic, Elven, Gnoll, Goblin, Halfling, Sylvan",,,,,Soulknife,18+1d4/2d4/2d6,"4'8""/4'4""+2d10",100/75+2d4,,,,,,,,,,,XPH,207,
Yak Folk,,,Large,Monstrous Humanoid,,5,30,,,,,,7,,,,,,,60,,,,,,,,,,,,,,,,8,,4,4,4,4,"Disguise,Heal,Knowledge (arcana),Use Magic Device",,,Improved Initiative,"Common,Yakfolk",,,4,,2,Sorcerer,,,,,,,,,,,,,,MM2,200,
"Yuan-ti, Anathema",,,Huge,Aberration,,22,40,,20,,,20,20,"Bite+5+0+1, 2 Claws+5+0+2",,"Animal Trance, Cause Fear, Deeper Darkness, Entangle, Haste, Neutralize Poison, Suggestion, Baleful Polymorph, Unholy Blight (3/day); Blasphemy, Unholy Aura (CL 20, DC 16+spell level)",,,,60,,"acid, poison",,"electricity 10, fire 10",26,15/good and magic,,,,,,,,,,16,2,18,14,14,12,"Climb+8,Concentration,Craft (any),Hide,Knowledge (any),Listen,Move Silently,Search+4,Spot+4,Survival,Swim+8",,"Longbow;Longbow, Composite;Scimitar",,"Yuan-Ti, Common","Common, Draconic, Abyssal",,18,,6,Cleric,,,,,,,,,,,,,,FF,193,
"Yuan-Ti, Abomination",,,Large,Monstrous Humanoid,,9,30,,20,,,20,10,Bite+5+0+1,,"Animal Trance (DC 11), Entangle (DC 10) (at will); Deeper Darkness, Neutralize Poison, Suggestion (DC 12) (3/day); Baleful Polymorph (DC 14), Fear (DC 13)",,,,60,,,,,18;ClassLvl,,,,,,,,,,,8,2,6,10,10,8,"Concentration,Craft (any),Hide,Knowledge (any),Listen,Move Silently,Spot,Swim+8",,"Longbow;Longbow, Composite;Scimitar","Alertness, Blind-Fight","Yuan-Ti, Common","Abyssal, Draconic",,7,,7,Cleric,,,,,,,,,,,,,,MM,264,
"Yuan-Ti, Halfblood",,,Medium,Monstrous Humanoid,,7,30,,,,,,4,Bite+5+0+1,,"Animal Trance (DC 11), Cause Fear (DC 10), Entangle(DC 10) (3/day); Deeper Darkness, Neutralize Poison, Suggestion(DC 12)",,,,60,,,,,16;ClassLvl,,,,,,,,,,,4,2,2,8,8,6,"Concentration,Craft (any),Hide,Knowledge (any),Listen,Spot",,"Longbow;Longbow, Composite;Scimitar","Alertness, Blind-Fight","Yuan-Ti, Common","Abyssal, Draconic",,5,,5,Ranger,,,,,,,,,,,,,,MM,264,
"Yuan-Ti, Pureblood",,,Medium,Monstrous Humanoid,,4,30,,,,,,1,,,,,,,60,,,,,,,,,,,,,,,,,2,,2,,2,"Concentration,Disguise,Hide,Knowledge (any),Listen,Spot",,"Longbow;Longbow, Composite;Scimitar","Alertness, Blind-Fight","Yuan-Ti, Common","Abyssal, Draconic",,3,,2,Ranger,,,,,,,,,,,,,,MM,263,RoF
Yurian,,,Medium,Monstrous Humanoid,Aquatic,3,30,,,,,20,6,2 Claws+5+0+1,,,,,,60,,,,,,,,,,,,,,,,4,,4,-2,,-2,"Hide+4,Listen,Spot,Swim+8",,,,Aquan,,,1,,4,Barbarian,,,,,,,,,,,,,,FF,198,
Zenythri,,,Medium,Outsider,Native,,30,,,,,,,,,True Strike (CL 1),,,,,,,,"electricity 5, fire 5, sonic 5",,,,,,,,,,,,2,2,,,2,-2,"Balance+2,Search,Survival+2",,,,Common,,,1,,1,Monk,,,,,,,,,,,,,,MM2,,
Ankheg,,,Large,Magical Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,MM,14,
Ape,,,Large,Animal,,4,30,,30,,,,3,"2 Claws+4+0+1,Bite+4+0+0",,,,,,,,,,,,,,,,21,15,14,2,12,7,,,,,,,"Climb+8,Listen,Spot",,,Alertness;Toughness,,,,,,-,,,,,Scent,,,4,,,,,,,MM,268,
"Archon, Lantern",,,Small,Outsider,,1,,,,60,perfect,,4,2 light rays+6+0-1,,,,,normal,,,"electricity,petrification",,,,10/evil and magic,,,,1,11,10,6,11,10,,,,,,,,,,Improved Initiative,,,,,Lawful Good,-,,,,,Spell-like abilities;Aura of menace;magic circle agaist evil;Teleport;Tongues,,7,,"Celestial, Planar",,,,,,MM,16,PlH
Asperi,,,Large,Magical Beast,Cold,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,7,,Exalted,,,,,MM2,25,
Baboon,,,Medium,Animal,,1,40,,30,,,,1,Bite+5+0+2,,,,,,,,,,,,,,,,15,14,12,2,12,4,,,,,,,"Climb:0+8,Listen:4,Spot:4",,,,,,,,,-,,,,,,,,1,,,,,,,MM,268,
Badger,,,Small,Animal,,1,30,10,,,,,1,"2 Claws+3+0+1,Bite+4+0+0",,,,,normal,,,,,,,,,,,8,17,15,3,12,6,,,,,,,"Balance:2,Escape Artist:2+4,Listen:2,Spot:2",,,,,,,,,-,,,,,,,,1,,,,,,,MM,268,
Basilisk,,,Medium,Magical Beast,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,,MM,23,
Bat,,,Diminutive,Animal,,0.25,5,,,40,good,,0,,,,,,,,,,,,,,,,,1,15,10,2,14,4,,,,,,,"Hide,Listen:4+4,Move Silently,Spot:4+4",,,Alertness,,,,0,Neutral,-,,,,,"Blindsense 10""",,1,,Normal,,,,,,MM,268,
"Bear, Black",,,Medium,Animal,,3,40,,,,,,2,"2 Claws+4+0+1,Bite+5+0+0",,,,,normal,,,,,,,,,,,19,13,15,2,12,6,,,,,,,"Climb,Listen:3,Spot:3,Swim:0+4",,,,,,,,,-,,,,,,,,4,,,,,,,MM,269,
"Bear, Brown",,,Large,Animal,,6,40,,,,,,5,"2 Claws+5+0+1,Bite+6-1+0",,,,,normal,,,,,,,,,,,27,13,19,2,12,6,,,,,,,"Listen:3,Spot:6,Swim:0+4",,,,,,,4,Lawful Good,-,,,,,,,,7,,,,,,,MM,269,
"Bear, Polar",,,Large,Animal,,8,40,,,,,30,5,"2 Claws+5+0+1,Bite+7+0+0",,,,,normal,,,,,,,,,,,27,13,19,2,12,6,,,,,,,"Hide:1,Listen:4,Spot:6,Swim:0+8",,,,,,,,,-,,,,,,,,10,,,,,,,MM,269,
Bison,,,Large,Animal,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,,MM,269,
Blink Dog,,,Medium,Magical Beast,,4,40,,,,,,3,Bite+5+0+2,,,,,,,,,,,,,,,,10,17,10,10,13,11,,,,,,,,,,Iron Will;Run;Track;,,,,,Lawful Good,-,,,,,Blink;Dimension Door;Scent,,5,4,Improved,Exalted,Exalted,,,,MM,28,CW
Boar,,,Medium,Animal,,3,40,,,,,,6,Gore+6+0+2,,,,,normal,60,,,,,,,,,,15,10,17,2,13,4,,,,,,,,,,,,,,3,Neutral,-,,,,,,,,4,,,,,,,MM,270,
Bulette,,,Huge,Magical Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,13,,,,,,,MM,30,
Bull,,,Large,Animal,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,PGtA,,
Camel,,,Large,Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,270,
Carp,,,Diminutive,Animal,Aquatic,1,,,,,,10,,,,,,,,,,,,,,,,,,1,20,10,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,OA,,
Cat,,,Tiny,Animal,,0.5,30,,,,,,0,"2 Claws+4+0+1,Bite+5+0+0",,,,,normal,,,,,,,,,,,3,15,10,2,12,7,,,,,,,,,,Weapon Finesse,,,,0,Neutral,-,,,,,Scent,,1,,Normal,,,,,,MM,270,
Cheetah,,,Medium,Animal,,3,50,,,,,,1,"Bite+5+0+1,2 Claws+2+0+0",,,,,normal,,,,,,,,,,,16,19,15,2,12,6,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,,MM,271,
Chimera,,,Large,Magical Beast,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,13,,,,,,,MM,34,
Clockwork Mender,,,Tiny,Magical Beast,,1,10,,,30,perfect,,2,Sting,,,,,,,,,,,,,,,,3,19,-,4,12,10,,,,,,,,,,Spring Attack;Weapon Finesse;,,,,,Lawful Neutral,-,,,,,Construct Immunities;Aligned Strike;Poison;Repairing Touch,,5,,Improved,,,,,,MM4,,
Cockatrice,,,Small,Magical Beast,,,,,,,,,,,,,,,normal,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,MM,37,
Crab,,,Diminutive,Animal,,1,15,,,,,,1,2 Claws+5+0+1,,,,,,,,,,,,,,,,1,17,10,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,OA,,
Crane,,,Small,Animal,,1,5,,,60,average,,,Bite+5+0+2,,,,,normal,,,,,,,,,,,6,16,10,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,OA,,
Crocodile,,,Medium,Animal,,3,20,,,,,30,4,"Bite+6+0+2,Tail Slap+8+0+2",,,,,normal,,,,,,,,,,,19,12,17,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,,MM,271,
"Crocodile, Giant",,,Huge,Animal,,7,20,,,,,30,7,"Bite+14+0+2,Tail Slap+13+0+2",,,,,normal,,,,,,,,,,,27,12,19,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,MM,271,
Darkmantle,,,Small,Magical Beast,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,38,
Deathfang,,,Small,Magical Beast,,1,20,,20,20,average,,3,Bite;,,,,,,,,,,,,,,,,6,17,-,1,12,2,,,,,,,,,,Alertness;Weapon Finesse;,,,,,Neutral Evil,-,,,,,Chilling Bite;Improved Grab;Constrict;Undead,,9,,Improved,,,,,,RoF,,PGtF
Deinonychus,,,Medium,Animal,,4,60,,,,,,5,"Talons+6+0+1,2 Foreclaws+3+0+0,Bite+9+0+0",,,,,,,,,,,,,,,,19,15,19,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,Dinosaur,MM,60,
Digester,,,Medium,Magical Beast,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,,MM,59,
Dire Ape,,,Large,Animal,,5,30,,15,,,,4,"2 Claws+4+0+1,Bite+5+0+0",,,,,,,,,,,,,,,,22,15,14,2,12,7,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,Dire Animal,MM,62,
Dire Badger,,,Medium,Animal,,3,30,10,,,,,3,"2 Claws+4+0+1,Bite+5+0+0",,,,,normal,,,,,,,,,,,14,17,19,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,Dire Animal,MM,62,
Dire Bat,,,Large,Animal,,4,20,,,40,good,,5,Bite+5+0+2,,,,,normal,,,,,,,,,,,17,22,17,2,14,6,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,Dire Animal,MM,62,
Dire Bear,,,Large,Animal,,12,40,,,,,,7,"2 Claws+15+0+1,Bite+7+0+0",,,,,normal,,,,,,,,,,,31,13,19,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,13,,,,,,Dire Animal,MM,63,
Dire Boar,,,Large,Animal,,7,40,,,,,,6,Gore+5+0+2,,,,,normal,,,,,,,,,,,27,10,17,2,13,8,,,,,,,,,,,,,,4,Neutral,-,,,,,,,,7,,,,,,Dire Animal,MM,63,
Dire Bull,,,Large,Animal,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,Dire Animal,PGtA,,
Dire Lion,,,Large,Animal,,8,40,,,,,,4,"2 Claws+4+0+1,Bite+5+0+0,Rake+4+0+0",,,,,normal,,,,,,,,,,,25,15,17,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,Dire Animal,MM,63,
Dire Ram,,,Large,Animal,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,Dire Animal,PGtA,,
Dire Rat,,,Small,Animal,,1,40,,20,,,,1,Bite+5+0+2,,,,,normal,,,,,,,,,,,10,17,12,1,12,4,,,,,,,,,,,,,,2,Neutral,-,,,,,,,,1,,,,,,Dire Animal,MM,64,
Dire Shark,,,Huge,Animal,Aquatic,18,,,,,,60,7,Bite+14+0+2,,,,,normal,,,,,,,,,,,23,15,17,1,12,10,,,,,,,,,,,,,,,,-,,,,,,,,16,,,,,,Dire Animal,MM,64,
Dire Tiger,,,Large,Animal,,16,40,,,,,,6,"2 Claws+15+0+1,Bite+6+0+0,Rake+15+0+0",,,,,normal,,,,,,,,,,,25,15,17,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,16,,,,,,Dire Animal,MM,65,
Dire Weasel,,,Medium,Animal,,3,40,,,,,,2,Bite+5+0+2,,,,,normal,,,,,,,,,,,14,19,10,2,12,11,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,Dire Animal,MM,65,
Dire Wolf,,,Large,Animal,,6,50,,,,,,3,Bite+5+0+2,,,,,normal,,,,,,,,,,,25,15,17,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,Dire Animal,MM,65,
Dire Wolverine,,,Large,Animal,,5,30,,10,,,,4,"2 Claws+4+0+1,Bite+5+0+0",,,,,normal,,,,,,,,,,,22,17,19,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,Dire Animal,MM,66,
Dog,,,Small,Animal,,1,40,,,,,,1,Bite+5+0+2,,,,,normal,,,,,,,,,,,13,17,15,2,12,6,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,271,
"Dog, Riding",,,Medium,Animal,,2,40,,,,,,4,Bite+5+0+2,,,,,normal,,,,,,,,,,,15,15,15,2,12,6,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,272,
"Dragon, Amethyst",Base,,,Dragon,Earth,,,,,,,,,,,,,,,,,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,-,,,,,,,,,,,,color=lavender;,,Gem,MM2,79,
"Dragon, Battle",Base,,,Dragon,Extraplanar,,,,,,,,,,,,,,,,,sonic,,sonic,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral Good,-,,,,,,,,,,,,color=brown;,,Planar,Dr,176,
"Dragon, Black",Base,,,Dragon,Water,,,,,,,,,acid,line,,,,,,,acid,,acid,,,,,,,,,,,,,,,,,,,,,,,,,2,Chaotic Evil,-,,,,,,,8,,Dragon,,Dragon,"color=black;DrShSkill=Hide, Move Silently, Swim;DrShAdaptation=Water Breathing (Ex);SpawnStr=2;SpawnCon=2;SpawnCha=2;SpawnCR=2;SpawnLA=2;",,Chromatic,MM,70,
"Dragon, Blue",Base,,,Dragon,Earth,,,,,,,,,lightning,line,,,,,,,electricity,,electricity,,,,,,,,,,,,,,,,,,,,,,,,,2,Lawful Evil,-,,,,,,,10,,Dragon,,Dragon,"color=blue;DrShSkill=Bluff, Hide, Spellcraft;DrShAdaptation=Ventriloquism (Sp);SpawnStr=6;SpawnCon=4;SpawnWis=2;SpawnCha=4;SpawnCR=2;SpawnLA=3;",,Chromatic,MM,72,
"Dragon, Brass",Base,,,Dragon,,,,,,,,,,fire,line,,,,,,,fire,,fire,,,,,,,,,,,,,,,,,,,,,,,,,,Chaotic Good,-,,,,,,,9,,Dragon,,Dragon,"color=brass;DrShSkill=Bluff, Gather Information, Survival;DrShAdaptation=Endure Elements (Sp);",,Metallic,MM,79,
"Dragon, Bronze",Base,,,Dragon,,,,,,,,,,lightning,line,,,,,,,electricity,,electricity,,,,,,,,,,,,,,,,,,,,,,,,,,Lawful Good,-,,,,,,,11,,Dragon,,Dragon,"color=bronze;DrShSkill=Disguise, Survival, Swim;DrShAdaptation=Water Breathing (Ex);",,Metallic,MM,80,
"Dragon, Brown",Base,,,Dragon,Earth,,,,,,,,,,,,,,,,,acid,,acid,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral Evil,-,,,,,,,,,,,,color=brown;,,Faerunian,MoF,38,Dr
"Dragon, Chaos",Base,,,Dragon,"Chaos,Extraplanar",,,,,,,,,,,,,,,,,compulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaotic,-,,,,,,,,,,,,color=;,,Planar,Dr,177,
"Dragon, Chiang Lung",Base,,,Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawful Neutral,-,,,,,,,,,,,,color=;,,Lung,OA,155,
"Dragon, Chromium",Base,,,Dragon,,,,,,,,,,,,,,,,,,cold,,cold,,,,,,,,,,,,,,,,,,,,,,,,,,Lawful Evil,-,,,,,,,,,,,,color=chromium;,,Ferreous,DMag,356,
"Dragon, Cobalt",Base,,,Dragon,,,,,,,,,,,,,,,,,,force,,electricity,,,,,,,,,,,,,,,,,,,,,,,,,,Lawful Evil,-,,,,,,,,,,,,color=;,,Ferreous,DMag,356,
"Dragon, Copper",Base,,,Dragon,,,,,,,,,,acid,line,,,,,,,acid,,acid,,,,,,,,,,,,,,,,,,,,,,,,,,Chaotic Good,-,,,,,,,10,,Dragon,,Dragon,"color=copper;DrShSkill=Bluff, Hide, Jump;DrShAdaptation=Spider Climb (Sp);",,Metallic,MM,82,
"Dragon, Crystal",Base,,,Dragon,Air,,,,,,,,,,,,,,,,,cold,,cold,,,,,,,,,,,,,,,,,,,,,,,,,,Chaotic Neutral,-,,,,,,,,,,,,color=translucent;,,Gem,MM2,81,
"Dragon, Deep",Base,,,Dragon,Earth,,,,,,,,,,,,,,,,,charm effects,,acid,,,,,,,,,,,,,,,,,,,,,,,,,,Chaotic Evil,-,,,,,,,,,,,,color=purple;,,Faerunian,MoF,40,
"Dragon, Emerald",Base,,,Dragon,Air,,,,,,,,,,,,,,,,,sonic,,sonic,,,,,,,,,,,,,,,,,,,,,,,,,,Lawful Neutral,-,,,,,,,,,,,,color=green;,,Gem,MM2,82,
"Dragon, Ethereal",Base,,,Dragon,Extraplanar,,,,,,,,,,,,,,,,,force,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,-,,,,,,,,,,,,color=brown-grey;,,Planar,Dr,179,
"Dragon, Fang",Base,,,Dragon,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaotic Neutral,-,,,,,,,,,,,,color=grey;,,Faerunian,MoF,159,Dr
"Dragon, Force",Base,,,Dragon,,,,,,,,,,,,,,,,,,force,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,-,,,,,,,,,,,,color=;,,Epic,ELH,,
